ts_code,name,market,publisher,category,base_date,list_date,discovery_market
000698.SH,科创100,SSE,中证指数有限公司、上海证券交易所,规模指数,20191231,20230807,SSE
000699.SH,科创200,SSE,中证指数有限公司、上海证券交易所,规模指数,20221230,20240820,SSE
000802.SH,500沪市,SSE,中证指数有限公司,主题指数,20041231,20111108,SSE
000814.SH,细分医药,SSE,中证指数有限公司,主题指数,20041231,20120411,SSE
000819.SH,有色金属,SSE,中证指数有限公司,行业指数,20041231,20120509,SSE
000823.SH,800有色,SSE,中证指数有限公司,行业指数,20041231,20121221,SSE
000827.SH,中证环保,SSE,中证指数有限公司、上海证券交易所,主题指数,20111230,20120925,SSE
000847.SH,腾讯济安,SSE,中证指数有限公司,策略指数,20130518,20131118,SSE
000849.SH,300非银,SSE,中证指数有限公司、上海证券交易所,主题指数,20041231,20121221,SSE
000850.SH,300有色,SSE,中证指数有限公司,行业指数,20041231,20121221,SSE
000851.SH,百发100,SSE,中证指数有限公司,策略指数,20081231,20140730,SSE
000852.SH,中证1000,SSE,中证指数有限公司,规模指数,20041231,20141017,SSE
000853.SH,CSSW丝路,SSE,中证指数有限公司,主题指数,20081231,20150423,SSE
000854.SH,500原料,SSE,中证指数有限公司,行业指数,20041231,20131106,SSE
000855.SH,央视500,SSE,中证指数有限公司、中央广播电视总台,主题指数,20091231,20141103,SSE
000856.SH,500工业,SSE,中证指数有限公司,行业指数,20041231,20131106,SSE
000857.SH,500医药,SSE,中证指数有限公司,行业指数,20041231,20131106,SSE
000858.SH,500信息,SSE,中证指数有限公司,行业指数,20041231,20131106,SSE
000860.SH,结构调整,SSE,中证指数有限公司,主题指数,20141231,20180326,SSE
000863.SH,CS精准医,SSE,中证指数有限公司,主题指数,20120629,20150805,SSE
000865.SH,上海国企,SSE,中证指数有限公司、上海证券交易所,主题指数,20121231,20160511,SSE
000867.SH,港中小企,SSE,中证指数有限公司,主题指数,20141114,20150826,SSE
000869.SH,HK银行,SSE,中证指数有限公司,主题指数,20141114,20160422,SSE
000888.SH,上证收益,SSE,中证指数有限公司、上海证券交易所,综合指数,20200721,20201009,SSE
000891.SH,新兴综指,SSE,中证指数有限公司、上海证券交易所,主题指数,20101231,20170125,SSE
000901.SH,小康指数,SSE,中证指数有限公司,主题指数,20051230,20100402,SSE
000903.SH,中证A100,SSE,中证指数有限公司,规模指数,20051230,20060529,SSE
000905.SH,中证500,SSE,中证指数有限公司,规模指数,20041231,20070115,SSE
000906.SH,中证800,SSE,中证指数有限公司,规模指数,20041231,20070115,SSE
000913.SH,300医药,SSE,中证指数有限公司,行业指数,20041231,20070702,SSE
000914.SH,300金融,SSE,中证指数有限公司,主题指数,20041231,20070702,SSE
000924.SH,分离债,SSE,中证指数有限公司,债券指数,20071231,20081119,SSE
000928.SH,800能源,SSE,中证指数有限公司,行业指数,20041231,20090703,SSE
000932.SH,800消费,SSE,中证指数有限公司,行业指数,20041231,20090703,SSE
000933.SH,800医卫,SSE,中证指数有限公司,行业指数,20041231,20090703,SSE
000934.SH,800金地,SSE,中证指数有限公司,主题指数,20041231,20090703,SSE
000935.SH,800信息,SSE,中证指数有限公司,行业指数,20041231,20090703,SSE
000973.SH,技术领先,SSE,中证指数有限公司、上海证券交易所,主题指数,20031231,20110104,SSE
000974.SH,800金融,SSE,中证指数有限公司,行业指数,20041231,20130509,SSE
000982.SH,500等权,SSE,中证指数有限公司、上海证券交易所,策略指数,20041231,20110613,SSE
000986.SH,全指能源,SSE,中证指数有限公司,行业指数,20041231,20110802,SSE
000987.SH,全指材料,SSE,中证指数有限公司,行业指数,20041231,20110802,SSE
000989.SH,全指可选,SSE,中证指数有限公司,行业指数,20041231,20110802,SSE
000991.SH,全指医药,SSE,中证指数有限公司,行业指数,20041231,20110802,SSE
000992.SH,金融地产,SSE,中证指数有限公司,主题指数,20041231,20110802,SSE
000993.SH,全指信息,SSE,中证指数有限公司,行业指数,20041231,20110802,SSE
000996.SH,领先行业,SSE,中证指数有限公司,主题指数,20041231,20110802,SSE
000997.SH,大消费,SSE,中证指数有限公司,主题指数,20041231,20111111,SSE
000999.SH,两岸三地,SSE,中证指数有限公司,规模指数,20041231,20100118,SSE
395001.SZ,主板A股,SZSE,深圳证券交易所,其他指数,,,SZSE
395002.SZ,主板B股,SZSE,深圳证券交易所,其他指数,,,SZSE
395003.SZ,中小100指R,SZSE,深圳证券交易所,规模指数,,20060124,SZSE
395004.SZ,创业板,SZSE,深圳证券交易所,其他指数,,,SZSE
395005.SZ,主板DR,SZSE,深圳证券交易所,其他指数,,,SZSE
395006.SZ,创业板DR,SZSE,深圳证券交易所,其他指数,,,SZSE
395011.SZ,封闭基金,SZSE,深圳证券交易所,其他指数,,,SZSE
395012.SZ,LOFs,SZSE,深圳证券交易所,其他指数,,,SZSE
395013.SZ,ETFs,SZSE,深圳证券交易所,基金指数,,,SZSE
395014.SZ,分级基金,SZSE,深圳证券交易所,基金指数,,,SZSE
395015.SZ,REITS,SZSE,深圳证券交易所,基金指数,,,SZSE
395021.SZ,可转债,SZSE,深圳证券交易所,债券指数,,,SZSE
395022.SZ,企业债,SZSE,深圳证券交易所,债券指数,,,SZSE
395023.SZ,企债回购,SZSE,深圳证券交易所,债券指数,,,SZSE
395024.SZ,公司债,SZSE,深圳证券交易所,债券指数,,,SZSE
395031.SZ,国债,SZSE,深圳证券交易所,债券指数,,,SZSE
395032.SZ,债券回购,SZSE,深圳证券交易所,债券指数,,,SZSE
395033.SZ,债券现货,SZSE,深圳证券交易所,债券指数,,20220516,SZSE
395034.SZ,ABS,SZSE,深圳证券交易所,债券指数,,20220516,SZSE
395041.SZ,股票权证,SZSE,深圳证券交易所,其他指数,,,SZSE
395099.SZ,总成交,SZSE,深圳证券交易所,其他指数,,,SZSE
399001.SZ,深证成指,SZSE,深圳证券信息有限公司、深圳证券交易所,规模指数,19940720,19950123,SZSE
399002.SZ,深成指R,SZSE,深圳证券信息有限公司、深圳证券交易所,规模指数,19940720,19950123,SZSE
399003.SZ,成份B指,SZSE,深圳证券信息有限公司、深圳证券交易所,规模指数,19940720,19950123,SZSE
399004.SZ,深证100R,SZSE,深圳证券信息有限公司、深圳证券交易所,规模指数,20021231,20030102,SZSE
399005.SZ,中小100,SZSE,深圳证券信息有限公司、深圳证券交易所,规模指数,20050607,20060124,SZSE
399006.SZ,创业板指,SZSE,深圳证券信息有限公司、深圳证券交易所,规模指数,20100531,20100601,SZSE
399007.SZ,深证300,SZSE,深圳证券信息有限公司、深圳证券交易所,规模指数,20041231,20091104,SZSE
399008.SZ,中小300,SZSE,深圳证券信息有限公司、深圳证券交易所,规模指数,20100319,20100322,SZSE
399009.SZ,深证200,SZSE,深圳证券信息有限公司、深圳证券交易所,规模指数,20041231,20110901,SZSE
399010.SZ,深证700,SZSE,深圳证券信息有限公司、深圳证券交易所,规模指数,20041231,20110901,SZSE
399011.SZ,深证1000,SZSE,深圳证券信息有限公司、深圳证券交易所,规模指数,20041231,20110901,SZSE
399012.SZ,创业300,SZSE,深圳证券信息有限公司、深圳证券交易所,规模指数,20120629,20130107,SZSE
399013.SZ,深市精选,SZSE,深圳证券信息有限公司、深圳证券交易所,主题指数,20041231,20140530,SZSE
399015.SZ,中小创新,SZSE,深圳证券信息有限公司、深圳证券交易所,规模指数,20111230,20150324,SZSE
399016.SZ,深证创新,SZSE,深圳证券信息有限公司、深圳证券交易所,主题指数,20121231,20161201,SZSE
399017.SZ,SME创新,SZSE,深圳证券信息有限公司、深圳证券交易所,主题指数,20121231,20161201,SZSE
399018.SZ,创业创新,SZSE,深圳证券信息有限公司、深圳证券交易所,主题指数,20121231,20161201,SZSE
399019.SZ,创业200,SZSE,深圳证券信息有限公司、深圳证券交易所,规模指数,20120629,20231115,SZSE
399020.SZ,创业500,SZSE,深圳证券信息有限公司、深圳证券交易所,规模指数,20180629,20231115,SZSE
399030.SZ,碳科技30,SZSE,深圳证券信息有限公司、深圳证券交易所,主题指数,20141231,20210926,SZSE
399050.SZ,创新引擎,SZSE,深圳证券信息有限公司,主题指数,20121231,20180731,SZSE
399060.SZ,碳科技60,SZSE,深圳证券信息有限公司,主题指数,20141231,20210926,SZSE
399088.SZ,深创100,SZSE,深圳证券信息有限公司、深圳证券交易所,规模指数,20121231,20200218,SZSE
399100.SZ,新指数,SZSE,深圳证券信息有限公司、深圳证券交易所,综合指数,20051230,20060216,SZSE
399101.SZ,中小综指,SZSE,深圳证券信息有限公司、深圳证券交易所,综合指数,20050607,20051201,SZSE
399102.SZ,创业板综,SZSE,深圳证券信息有限公司、深圳证券交易所,综合指数,20100531,20100820,SZSE
399103.SZ,乐富指数,SZSE,深圳证券信息有限公司、深圳证券交易所,基金指数,20041231,20111202,SZSE
399106.SZ,深证综指,SZSE,深圳证券信息有限公司、深圳证券交易所,综合指数,19910403,19910404,SZSE
399107.SZ,深证A指,SZSE,深圳证券信息有限公司、深圳证券交易所,综合指数,19910403,19921004,SZSE
399108.SZ,深证B指,SZSE,深圳证券信息有限公司、深圳证券交易所,综合指数,19920228,19921006,SZSE
399110.SZ,农林指数,SZSE,深圳证券信息有限公司、深圳证券交易所,行业指数,19910403,20010702,SZSE
399120.SZ,采掘指数,SZSE,深圳证券信息有限公司、深圳证券交易所,行业指数,19910403,20010702,SZSE
399130.SZ,制造指数,SZSE,深圳证券信息有限公司、深圳证券交易所,行业指数,19910403,20010702,SZSE
399131.SZ,食品指数,SZSE,深圳证券信息有限公司、深圳证券交易所,行业指数,19910403,20010702,SZSE
399132.SZ,纺织指数,SZSE,深圳证券信息有限公司、深圳证券交易所,行业指数,19910403,20010702,SZSE
399133.SZ,木材指数,SZSE,深圳证券信息有限公司、深圳证券交易所,行业指数,19910403,20010702,SZSE
399134.SZ,造纸指数,SZSE,深圳证券信息有限公司、深圳证券交易所,行业指数,19910403,20010702,SZSE
399135.SZ,石化指数,SZSE,深圳证券信息有限公司、深圳证券交易所,行业指数,19910403,20010702,SZSE
399136.SZ,电子指数,SZSE,深圳证券信息有限公司、深圳证券交易所,行业指数,19910403,20010702,SZSE
399137.SZ,金属指数,SZSE,深圳证券信息有限公司、深圳证券交易所,行业指数,19910403,20010702,SZSE
399138.SZ,机械指数,SZSE,深圳证券信息有限公司、深圳证券交易所,行业指数,19910403,20010702,SZSE
399139.SZ,医药指数,SZSE,深圳证券信息有限公司、深圳证券交易所,行业指数,19910403,20010702,SZSE
399140.SZ,水电指数,SZSE,深圳证券信息有限公司、深圳证券交易所,行业指数,19910403,20010702,SZSE
399150.SZ,建筑指数,SZSE,深圳证券信息有限公司、深圳证券交易所,行业指数,19910403,20010702,SZSE
399160.SZ,运输指数,SZSE,深圳证券信息有限公司、深圳证券交易所,行业指数,19910403,20010702,SZSE
399170.SZ,信息指数,SZSE,深圳证券信息有限公司、深圳证券交易所,行业指数,19910403,20010702,SZSE
399180.SZ,批零指数,SZSE,深圳证券信息有限公司、深圳证券交易所,行业指数,19910403,20010702,SZSE
399190.SZ,金融指数,SZSE,深圳证券信息有限公司、深圳证券交易所,行业指数,19910403,20010702,SZSE
399200.SZ,地产指数,SZSE,深圳证券信息有限公司、深圳证券交易所,行业指数,19910403,20010702,SZSE
399210.SZ,服务指数,SZSE,深圳证券信息有限公司、深圳证券交易所,行业指数,19910403,20010702,SZSE
399220.SZ,传播指数,SZSE,深圳证券信息有限公司、深圳证券交易所,行业指数,19910403,20010702,SZSE
399230.SZ,综企指数,SZSE,深圳证券信息有限公司、深圳证券交易所,行业指数,19910403,20010702,SZSE
399231.SZ,农林指数,SZSE,深圳证券信息有限公司、深圳证券交易所,行业指数,19910403,20130304,SZSE
399232.SZ,采矿指数,SZSE,深圳证券信息有限公司、深圳证券交易所,行业指数,19910403,20130304,SZSE
399233.SZ,制造指数,SZSE,深圳证券信息有限公司、深圳证券交易所,行业指数,19910403,20130304,SZSE
399234.SZ,水电指数,SZSE,深圳证券信息有限公司、深圳证券交易所,行业指数,19910403,20130304,SZSE
399235.SZ,建筑指数,SZSE,深圳证券信息有限公司、深圳证券交易所,行业指数,19910403,20130304,SZSE
399236.SZ,批零指数,SZSE,深圳证券信息有限公司、深圳证券交易所,行业指数,19910403,20130304,SZSE
