ts_code,api,status,rows
000171.CSI,index_daily,ok,2828
930955.CSI,index_daily,ok,2828
930986.CSI,index_daily,ok,2828
930957.CSI,index_daily,ok,2902
930965.CSI,index_daily,ok,2902
930967.CSI,index_daily,ok,2902
930977.CSI,index_daily,ok,2902
931233.CSI,index_daily,ok,2986
930997.CSI,index_daily,ok,2828
931000.CSI,index_daily,ok,2341
931778.CSI,index_daily,ok,2828
931238.CSI,index_daily,ok,3007
931021.CSI,index_daily,ok,2828
931018.CSI,index_daily,ok,2828
931028.CSI,index_daily,ok,2904
931033.CSI,index_daily,ok,2828
SPAHLVCP.OTH,,unsupported_code_suffix,0
931039.CSI,index_daily,ok,2963
931052.CSI,index_daily,ok,2828
931066.CSI,index_daily,ok,2828
000860.SH,index_daily,ok,2828
716567.MI,,unsupported_code_suffix,0
704843.MI,,unsupported_code_suffix,0
707918.MI,,unsupported_code_suffix,0
CBC00701.OTH,,unsupported_code_suffix,0
931787.CSI,index_daily,ok,2180
931071.CSI,index_daily,ok,2828
931068.CSI,index_daily,ok,2828
930939.CSI,index_daily,ok,2828
930758.CSI,index_daily,ok,2828
930740.CSI,index_daily,ok,2828
931088.CSI,index_daily,ok,2585
931078.CSI,index_daily,ok,2828
950045.CSI,index_daily,ok,2828
399295.SZ,index_daily,ok,2828
399296.SZ,index_daily,ok,2828
CBA08201.OTH,,unsupported_code_suffix,0
CBA08301.OTH,,unsupported_code_suffix,0
990001.OTH,,unsupported_code_suffix,0
931141.CSI,index_daily,ok,2828
931139.CSI,index_daily,ok,2828
931140.CSI,index_daily,ok,2828
931865.CSI,index_daily,ok,2341
931087.CSI,index_daily,ok,2828
931151.CSI,index_daily,ok,2828
931152.CSI,index_daily,ok,2828
931079.CSI,index_daily,ok,2585
931165.CSI,index_daily,ok,2828
931166.CSI,index_daily,ok,2828
931161.CSI,index_daily,ok,2828
950041.CSI,index_daily,ok,2828
980001.SZ,index_daily,ok,2305
399293.SZ,index_daily,ok,2828
000859.CSI,index_daily,ok,2828
000861.CSI,index_daily,ok,2828
931159.CSI,index_daily,ok,2828
931187.CSI,index_daily,ok,2828
931186.CSI,index_daily,ok,2828
CBA11901.OTH,,unsupported_code_suffix,0
721812.MI,,unsupported_code_suffix,0
931268.CSI,index_daily,ok,2828
931265.CSI,index_daily,ok,2828
931380.CSI,index_daily,ok,2828
399291.SZ,index_daily,ok,2828
950049.CSI,index_daily,ok,2490
931372.CSI,index_daily,ok,2828
SPCLLHCP.OTH,,unsupported_code_suffix,0
931403.CSI,index_daily,ok,2182
931395.CSI,index_daily,ok,2979
931402.CSI,index_daily,ok,2828
931393.CSI,index_daily,ok,2828
931409.CSI,index_daily,ok,2982
931404.CSI,index_daily,ok,2982
931412.CSI,index_daily,ok,2828
931406.CSI,index_daily,ok,2585
931454.CSI,index_daily,ok,2939
399285.SZ,index_daily,ok,2828
931447.CSI,index_daily,ok,2828
931470.CSI,index_daily,ok,2982
931442.CSI,index_daily,ok,2982
931456.CSI,index_daily,ok,3024
931463.CSI,index_daily,ok,2222
931476.CSI,index_daily,ok,2222
931480.CSI,index_daily,ok,2828
931481.CSI,index_daily,ok,2980
931484.CSI,index_daily,ok,2828
931487.CSI,index_daily,ok,2980
931468.CSI,index_daily,ok,2828
931494.CSI,index_daily,ok,2828
931469.CSI,index_daily,ok,2828
931495.CSI,index_daily,ok,2828
931521.CSI,index_daily,ok,2828
000688.SH,index_daily,ok,1610
931524.CSI,index_daily,ok,2984
931552.CSI,index_daily,ok,2828
931554.CSI,index_daily,ok,2984
931526.CSI,index_daily,ok,2222
FISAULM.OTH,,unsupported_code_suffix,0
931582.CSI,index_daily,ok,2341
931586.CSI,index_daily,ok,2828
931587.CSI,index_daily,ok,2828
931588.CSI,index_daily,ok,2828
931589.CSI,index_daily,ok,2828
931590.CSI,index_daily,ok,2828
931591.CSI,index_daily,ok,2828
399276.SZ,index_daily,ok,2828
399275.SZ,index_daily,ok,2828
931596.CSI,index_daily,ok,2986
931594.CSI,index_daily,ok,2585
931637.CSI,index_daily,ok,2427
987008.CNI,index_daily,ok,2856
931695.CSI,index_daily,ok,2828
931643.CSI,index_daily,ok,1610
931696.CSI,index_daily,ok,2828
CBA21801.OTH,,unsupported_code_suffix,0
000682.SH,index_daily,ok,1610
931733.CSI,index_daily,ok,2828
931752.CSI,index_daily,ok,2465
GPCCH003.OTH,,unsupported_code_suffix,0
931755.CSI,index_daily,ok,2222
987016.CNI,index_daily,ok,2856
987018.CNI,index_daily,ok,1873
987022.CNI,index_daily,ok,2856
931790.CSI,index_daily,ok,2947
SPNCSCHN.OTH,,unsupported_code_suffix,0
987024.CNI,index_daily,ok,2856
931866.CSI,index_daily,ok,2341
000683.SH,index_daily,ok,1610
000685.SH,index_daily,ok,1610
931239.CSI,index_daily,ok,2462
932069.CSI,index_daily,ok,1946
931235.CSI,index_daily,ok,1854
000689.SH,index_daily,ok,1610
931994.CSI,index_daily,ok,2828
399264.SZ,index_daily,ok,2097
399266.SZ,index_daily,ok,2097
000690.SH,index_daily,ok,1610
932038.CSI,index_daily,ok,2341
932037.CSI,index_daily,ok,2341
932039.CSI,index_daily,ok,2341
NDXTMC.NASDAQ,,unsupported_code_suffix,0
GPCSP006.OTH,,unsupported_code_suffix,0
950243.CSI,index_daily,ok,1007
950245.CSI,index_daily,ok,1007
931241.CSI,index_daily,ok,2828
932088.CSI,index_daily,ok,1124
932087.CSI,index_daily,ok,1124
